Наименование вакансии	Зарплата	Наличие тестового задания	Дата публикации	Организация	URL-ссылка
Супергерой в службу поддержки Яндекс Плюса	30000-None	Нет	01.03.2024	Яндекс Крауд	https://hh.ru/vacancy/80149884
Ночной специалист клиентского сервиса в Службу Заботы	None-55000	Нет	01.03.2024	Группа компаний eLama	https://hh.ru/vacancy/82545821
Агент - стажер по продаже недвижимости	100000-300000	Нет	02.03.2024	Самолет Плюс (ООО Аэропорт)	https://hh.ru/vacancy/93971892
Специалист клиентского сервиса (Служба Заботы)	None-47000	Нет	03.03.2024	Группа компаний eLama	https://hh.ru/vacancy/75341031
Программист QT / C++	60000-None	Нет	01.03.2024	НПО Колибри	https://hh.ru/vacancy/86273420
Заместитель руководителя / Товаровед в группу открытия магазинов	55000-75000	Нет	02.03.2024	Градусы	https://hh.ru/vacancy/93665602
Бухгалтер по учету подотчетных средств	62400-75400	Нет	01.03.2024	НПО Завод Волна	https://hh.ru/vacancy/92702738
Территориальный менеджер	130000-None	Нет	29.02.2024	ТД ГраСС	https://hh.ru/vacancy/94006939
Бизнес-ассистент (стажер)	10000-30000	Нет	25.02.2024	Рекруто	https://hh.ru/vacancy/93743386
Middle Linux administrator	None	Нет	03.03.2024	iFuture	https://hh.ru/vacancy/93811754
Менеджер по продажам / агент по недвижимости (стажер)	100000-450000	Нет	03.03.2024	ЕЦН ТРЕНД	https://hh.ru/vacancy/54468127
Руководитель отдела разработки	None-750000	Нет	29.02.2024	Offer Now	https://hh.ru/vacancy/94012703
Офис-менеджер	50000-70000	Нет	01.03.2024	ДВсепт	https://hh.ru/vacancy/94100607
Менеджер по продаже растений	None	Нет	01.03.2024	Принцип NOVO	https://hh.ru/vacancy/93257825
Администратор загородного отеля/Личный помощник руководителя	40000-120000	Нет	02.03.2024	Парк-отель Хутор Ярви	https://hh.ru/vacancy/92851835
Менеджер по продажам в студию растяжки и балета Levita	60000-None	Нет	01.03.2024	Levita	https://hh.ru/vacancy/94102273
Администратор	40000-None	Нет	02.03.2024	Школа Бенуа Оккервиль (ИП Соловьева Екатерина Викторовна)	https://hh.ru/vacancy/93936915
Администратор	40000-None	Нет	02.03.2024	Школа Бенуа на Васильевском	https://hh.ru/vacancy/93934413
CRM маркетолог	None	Нет	28.02.2024	Премьер Консалт	https://hh.ru/vacancy/92786230
Торговый представитель по сетям (Приморскийн р-н)	92000-None	Нет	29.02.2024	БКК Коломенский	https://hh.ru/vacancy/94005876
Старший кассир в ресторанный проект Фуд Парк (ТЦ Меркурий, м Беговая)	60000-None	Нет	01.03.2024	Ginza Project	https://hh.ru/vacancy/93050670
Аналитик по дебиторской задолженности	None-58500	Нет	28.02.2024	Единый информационно-расчетный центр Санкт-Петербурга	https://hh.ru/vacancy/92717006
Специалист 1 разряда отдела кассового обслуживания исполнения бюджетов	40000-45000	Нет	22.02.2024	УФК по Ленинградской области	https://hh.ru/vacancy/93644249
Продавец-кассир (ТЦ Рио)	60000-None	Нет	29.02.2024	COZY HOME	https://hh.ru/vacancy/94041876
Продавец - кассир (м. Проспект Просвещения Энгельса, 132)	63500-69000	Нет	01.03.2024	Бристоль, сеть магазинов	https://hh.ru/vacancy/94114245
Менеджер отдела продаж B2B (Удалённо)	70000-93000	Нет	21.02.2024	Рекруто	https://hh.ru/vacancy/93592635
Координатор технической поддержки	None-70000	Нет	28.02.2024	Омега Технологии будущего	https://hh.ru/vacancy/93059840
Химик-аналитик	60000-None	Нет	28.02.2024	Фармпроект	https://hh.ru/vacancy/87704531
Младший менеджер по логистике	None-70000	Нет	28.02.2024	Деловые Линии	https://hh.ru/vacancy/92271529
Администратор отдела продаж	80000-None	Нет	20.02.2024	JobStarter	https://hh.ru/vacancy/92775884
Диспетчер/оператор службы поддержки (на телефоне)	30000-35000	Нет	22.02.2024	Феникс	https://hh.ru/vacancy/93643790
Контент-менеджер/Администратор сайта (копирайтер)	80000-None	Нет	28.02.2024	Пилот-Мото	https://hh.ru/vacancy/93923829
Продавец - кассир Среднеохтинский проспект	63500-69000	Нет	26.02.2024	Бристоль, сеть магазинов	https://hh.ru/vacancy/93793358
Продавец - кассир (Кировский район)	63500-69000	Нет	26.02.2024	Бристоль, сеть магазинов	https://hh.ru/vacancy/92382254
Менеджер по подбору персонала	30000-150000	Нет	28.02.2024	Альянс Групп	https://hh.ru/vacancy/93936625
Лид-менеджер	40000-70000	Нет	16.02.2024	Первый Бит	https://hh.ru/vacancy/93319484
Системный аналитик (стажёр)	None	Нет	27.02.2024	CSI (Кристалл Сервис Интеграция)	https://hh.ru/vacancy/93846219
Операционист / Оператор 1С	52000-70000	Нет	28.02.2024	САТУРН - строительные материалы	https://hh.ru/vacancy/85871219
Консультант-аналитик (стажер) по внедрению/сопровождению MS Dynamics Ax (Axapta)	50000-None	Нет	27.02.2024	ВитаСофт	https://hh.ru/vacancy/93866123
Менеджер по продажам ИТ-проектов (B2B)	70000-None	Нет	14.02.2024	Первый Бит	https://hh.ru/vacancy/93233571
Менеджер по продаже новой дорожно-строительной техники	150000-None	Нет	28.02.2024	ГК ТЕХПОРТАВТОСЕРВИС	https://hh.ru/vacancy/91814461
Специалист в отдел маркетинговых исследований и аналитики	45000-None	Нет	27.02.2024	ЭдПро	https://hh.ru/vacancy/93848389
Математик / физик (младший аналитик строительных проектов компании/ученик)	80000-None	Нет	27.02.2024	НАО ИРМАСТ-ХОЛДИНГ	https://hh.ru/vacancy/92940884
Главный специалист консолидации отчетности	None	Нет	27.02.2024	Газпром нефть	https://hh.ru/vacancy/88657271
Стажер-технический писатель	None	Да	27.02.2024	СБЕР	https://hh.ru/vacancy/93870551
